ticker_yf,event_date,decision_asof_date,label_anchor_trade_date,label_horizon_trade_date,horizon_trading_days,keep_return_threshold,forward_total_return,y_keep,index,company,sector_snapshot,industry_snapshot,peer_group,is_commodity_like,shares_outstanding_static,shares_source,market_cap_available,market_cap_is_approx,market_cap_approx_asof,ps_ttm,pe_ttm,forward_pe_snapshot,forward_pe_is_snapshot,fundamentals_available,fundamental_staleness_days,revenue_ttm_asof,net_income_ttm_asof,ocf_ttm_asof,roe_asof,rev_ttm_qoq_trend,ni_ttm_qoq_trend,ocf_ttm_qoq_trend,ps_ttm_peer_z,ps_ttm_peer_n,ps_ttm_peer_pctile,pe_ttm_peer_z,pe_ttm_peer_n,pe_ttm_peer_pctile
6666.HK,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,0.30508477144698976,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Evergrande Property Services Group Ltd.,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,10810811000.0,yfinance_info_static_sharesOutstanding,1,1,6378378206.475199,,,,0,0,,,,,,,,,,0,,,0,
688114.SS,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,-0.2724768150375191,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Mgi Tech Co., Ltd.",Healthcare,Medical Devices,Healthcare||Medical Devices,,416516155.0,yfinance_info_static_sharesOutstanding,1,1,28722953667.46807,,,,0,0,,,,,,,,,,0,,,0,
688318.SS,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,-0.06176445600935987,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Fortune Trend Technology Co., Ltd.",Technology,Software - Application,Technology||Software - Application,,256119472.0,yfinance_info_static_sharesOutstanding,1,1,16100244652.973633,,,,0,0,,,,,,,,,,0,,,0,
9880.HK,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,0.6340975963072211,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,UBTECH ROBOTICS CORP LTD - H Shares,Industrials,Specialty Industrial Machinery,Industrials||Specialty Industrial Machinery,,432735396.0,yfinance_info_static_sharesOutstanding,1,1,43403361539.403625,,,,0,0,,,,,,,,,,0,,,0,
9885.HK,2024-03-04,2024-03-04,2024-03-01,2024-05-31,60,0.0,-0.12831856773308348,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,YSB Inc.,Healthcare,Pharmaceutical Retailers,Healthcare||Pharmaceutical Retailers,,686270948.0,yfinance_info_static_sharesOutstanding,1,1,6203889343.740841,,,,0,0,,,,,,,,,,0,,,0,
2899.HK,2024-06-11,2024-06-11,2024-06-07,2024-09-03,60,0.0,-0.1268571581159319,0.0,Hang Seng Stock Connect China Enterprises Index,"Zijin Mining Group Co., Ltd. - H Shares",Basic Materials,Gold,Basic Materials||Gold,,5988921482.0,yfinance_info_static_sharesOutstanding,1,1,104806125935.0,,,,0,0,,,,,,,,,,0,,,0,
601319.SS,2024-06-11,2024-06-11,2024-06-07,2024-09-02,60,0.0,0.16761906941731763,1.0,Hang Seng Stock Connect China Enterprises Index,The People's Insurance Company (Group) of China Limited,Financial Services,Insurance - Property & Casualty,Financial Services||Insurance - Property & Casualty,,35497756583.0,yfinance_info_static_sharesOutstanding,1,1,186363222060.75,,,,0,0,,,,,,,,,,0,,,0,
601998.SS,2024-06-11,2024-06-11,2024-06-07,2024-09-02,60,0.0,-0.11239196014081121,0.0,Hang Seng Stock Connect China Enterprises Index,China Citic Bank Corporation Limited,Financial Services,Banks - Regional,Financial Services||Banks - Regional,,40762999287.0,yfinance_info_static_sharesOutstanding,1,1,282895217384.2575,,,,0,0,,,,,,,,,,0,,,0,
000060.SZ,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.2425742644373663,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Zhongjin Lingnan Nonfemet Co., Ltd.",Basic Materials,Other Industrial Metals & Mining,Basic Materials||Other Industrial Metals & Mining,,4441172458.0,yfinance_info_static_sharesOutstanding,1,1,17942336560.902718,,,,0,1,71.0,,,,,,,,,0,,,0,
000893.SZ,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.3566520301587437,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Asia-Potash International Investment (Guangzhou) Co., Ltd.",Basic Materials,Agricultural Inputs,Basic Materials||Agricultural Inputs,,924051187.0,yfinance_info_static_sharesOutstanding,1,1,14794059715.368532,,,,0,1,71.0,,,,,,,,,0,,,0,
1415.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.2790697674418605,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Cowell e Holdings Inc.,Technology,Electronic Components,Technology||Electronic Components,,868165800.0,yfinance_info_static_sharesOutstanding,1,1,18665564700.0,,,,0,0,,,,,,,,,,0,,,0,
1519.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,-0.06940063826983622,0.0,Hang Seng Stock Connect China Enterprises Index,J&T Global Express Ltd. - W,Industrials,Integrated Freight & Logistics,Industrials||Integrated Freight & Logistics,,7914733457.0,yfinance_info_static_sharesOutstanding,1,1,50179411325.07248,,,,0,0,,,,,,,,,,0,,,0,
2018.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.17806036051738694,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,AAC Technologies Holdings Inc.,Technology,Communication Equipment,Technology||Communication Equipment,,1139289969.0,yfinance_info_static_sharesOutstanding,1,1,35830670394.25926,,,,0,0,,,,,,,,,,1,,,1,
2228.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,-0.6785714173082681,0.0,Hang Seng Stock Connect Greater Bay Area Composite Index,QuantumPharm Inc. - P,Healthcare,Health Information Services,Healthcare||Health Information Services,,4303371761.0,yfinance_info_static_sharesOutstanding,1,1,65066980533.83819,,,,0,0,,,,,,,,,,0,,,0,
2498.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,1.1247738796030196,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"RoboSense Technology Co., Ltd",Technology,Computer Hardware,Technology||Computer Hardware,,462221584.0,yfinance_info_static_sharesOutstanding,1,1,5112170912.995895,,,,0,1,71.0,,,,,,,,,0,,,0,
2602.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.1404915152020887,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,Onewo Inc. - H Shares,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,1153418629.0,yfinance_info_static_sharesOutstanding,1,1,21591995942.89028,,,,0,0,,,,,,,,,,0,,,0,
300735.SZ,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.7821449030256162,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"DBG Technology Co., Ltd",Technology,Consumer Electronics,Technology||Consumer Electronics,,767460689.0,yfinance_info_static_sharesOutstanding,1,1,13668474461.221773,,,,0,1,71.0,,,,,,,,,0,,,0,
3899.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.14262017027435214,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,CIMC Enric Holdings Ltd.,Energy,Oil & Gas Equipment & Services,Energy||Oil & Gas Equipment & Services,,2111385972.0,yfinance_info_static_sharesOutstanding,1,1,12731657854.146406,,,,0,0,,,,,,,,,,0,,,0,
3933.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.1869565546399936,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"United Laboratories International Holdings Ltd., The",Healthcare,Drug Manufacturers - Specialty & Generic,Healthcare||Drug Manufacturers - Specialty & Generic,,1973026508.0,yfinance_info_static_sharesOutstanding,1,1,18151843497.27506,,,,0,0,,,,,,,,,,0,,,0,
600406.SS,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,-0.007964984391796603,0.0,Hang Seng Stock Connect China Enterprises Index,"NARI Technology Co., Ltd.",Industrials,Specialty Industrial Machinery,Industrials||Specialty Industrial Machinery,,8031756156.0,yfinance_info_static_sharesOutstanding,1,1,201677401979.35492,,,,0,1,71.0,,,,,,,,,0,,,0,
601225.SS,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.07938602780077852,1.0,Hang Seng Stock Connect China Enterprises Index,"Shaanxi Coal Industry Co., Ltd.",Energy,Thermal Coal,Energy||Thermal Coal,,9695000000.0,yfinance_info_static_sharesOutstanding,1,1,221045992603.302,,,,0,1,71.0,,,,,,,,,0,,,0,
688177.SS,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.13089812028896475,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Bio-Thera Solutions, Ltd.",Healthcare,Biotechnology,Healthcare||Biotechnology,,414080000.0,yfinance_info_static_sharesOutstanding,1,1,8161516420.8984375,,,,0,1,71.0,,,,,,,,,0,,,0,
688343.SS,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.9485193153148708,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Shenzhen Intellifusion Technologies Co., Ltd.",Technology,Software - Application,Technology||Software - Application,,359603380.0,yfinance_info_static_sharesOutstanding,1,1,7893294465.355606,,,,0,1,71.0,,,,,,,,,0,,,0,
688525.SS,2024-09-09,2024-09-09,2024-09-06,2024-12-10,60,0.0,0.38260876347594497,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Biwin Storage Technology Co., Ltd.",Technology,Semiconductors,Technology||Semiconductors,,470836710.0,yfinance_info_static_sharesOutstanding,1,1,20034101651.280098,,,,0,1,71.0,,,,,,,,,0,,,0,
6963.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.03731339632150399,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,"Sunshine Insurance Group Co., Ltd. - H Shares",Financial Services,Insurance - Property & Casualty,Financial Services||Insurance - Property & Casualty,,3478768513.0,yfinance_info_static_sharesOutstanding,1,1,9323099847.072853,,,,0,0,,,,,,,,,,0,,,0,
9890.HK,2024-09-09,2024-09-09,2024-09-05,2024-12-04,60,0.0,0.16975742389856063,1.0,Hang Seng Stock Connect Greater Bay Area Composite Index,ZX Inc.,Communication Services,Electronic Gaming & Multimedia,Communication Services||Electronic Gaming & Multimedia,,522947918.0,yfinance_info_static_sharesOutstanding,1,1,3665865024.8732796,,,,0,0,,,,,,,,,,0,,,0,
002371.SZ,2025-12-08,2025-12-08,2025-12-05,2026-03-11,60,0.0,0.025504972773307433,1.0,Hang Seng HKEX Stock Connect China Enterprises Index,"NAURA Technology Group Co., Ltd.",Technology,Semiconductor Equipment & Materials,Technology||Semiconductor Equipment & Materials,,724832616.0,yfinance_info_static_sharesOutstanding,1,1,326537093508.0,9.705451809028567,53.98589311531259,,0,1,161.0,33644708142.72,6048563331.36,,0.178989518834874,0.04535578998841783,-0.004408380644085885,,,1,1.0,,1,1.0
1378.HK,2025-12-08,2025-12-08,2025-12-05,2026-03-09,60,0.0,0.11736807609585775,1.0,Hang Seng HKEX Stock Connect China Enterprises Index,China Hongqiao Group Ltd.,Basic Materials,Aluminum,Basic Materials||Aluminum,,9923049841.0,yfinance_info_static_sharesOutstanding,1,1,334803718290.8497,,,,0,0,,,,,,,,,,0,,,0,
1801.HK,2025-12-08,2025-12-08,2025-12-05,2026-03-09,60,0.0,-0.11141304347826086,0.0,Hang Seng HKEX Stock Connect China Enterprises Index,"Innovent Biologics, Inc.",Healthcare,Biotechnology,Healthcare||Biotechnology,,1734623465.0,yfinance_info_static_sharesOutstanding,1,1,159585358780.0,,,,0,0,,,,,,,,,,0,,,0,
9987.HK,2025-12-08,2025-12-08,2025-12-05,2026-03-09,60,0.0,0.1365907274349969,1.0,Hang Seng HKEX Stock Connect China Enterprises Index,"Yum China Holdings, Inc.",Consumer Cyclical,Restaurants,Consumer Cyclical||Restaurants,,351034770.0,yfinance_info_static_sharesOutstanding,1,1,126442728439.0924,10.929443205038673,139.8702748220049,,0,1,69.0,11569000000.0,904000000.0,1508000000.0,0.15881939564300773,,,,,1,1.0,,1,1.0
2423.HK,2026-03-09,2026-03-09,2026-03-06,,60,0.0,,,Hang Seng HKEX Stock Connect China Enterprises Index,KE Holdings Inc. - W,Real Estate,Real Estate Services,Real Estate||Real Estate Services,,3204997403.0,yfinance_info_static_sharesOutstanding,1,1,139353285615.30862,,,,0,1,68.0,,,,,,,,,0,,,0,
300308.SZ,2026-03-09,2026-03-09,2026-03-06,,60,0.0,,,Hang Seng HKEX Stock Connect China Enterprises Index,"Zhongji Innolight Co., Ltd.",Technology,Communication Equipment,Technology||Communication Equipment,,1113600534.0,yfinance_info_static_sharesOutstanding,1,1,607446797536.3096,21.809307448827823,89.22307733763859,,0,1,252.0,27852640390.42,6808180301.13,,0.2983635007592811,0.08402229284782403,0.1850420845159364,,,1,1.0,,1,1.0
601211.SS,2026-03-09,2026-03-09,2026-03-06,,60,0.0,,,Hang Seng HKEX Stock Connect China Enterprises Index,"Guotai Haitong Securities Co., Ltd.",Financial Services,Capital Markets,Financial Services||Capital Markets,,14123165981.0,yfinance_info_static_sharesOutstanding,1,1,260713631079.11536,5.24879171051205,10.979601252832273,,0,1,252.0,49671171092.0,23745273173.0,70213647919.0,0.0738858283989033,0.06085775499778201,0.04252110517537444,2.632756513772692,,1,1.0,,1,1.0
9660.HK,2026-03-09,2026-03-09,2026-03-06,,60,0.0,,,Hang Seng HKEX Stock Connect China Enterprises Index,Horizon Robotics - W,Technology,Software - Application,Technology||Software - Application,,12513813315.0,yfinance_info_static_sharesOutstanding,1,1,96106084111.06157,,,,0,0,,,,,,,,,,0,,,0,
